node1,node2,link,cosine_sim_node2vec,cosine_sim_sage,resource_allocation_index,adamic_adar_index
0830826556,0802441297,1,0.83708525,0.46910615758096785,0.0,0.0
0385025335,1579108393,1,0.84661776,0.414629241379351,0.4222222222222222,1.531574161186449
0785263810,0800612248,0,0.23462582,-0.08677261397174069,0.0,0.0
080102532X,0877844054,1,0.7719944,0.07336139213825647,0.569047619047619,1.8316757896868623
0813208270,0814619096,1,0.94114333,0.4017218212986382,0.5095238095238095,1.6933439034806097
0262631601,0801020832,0,0.36922377,-0.08648924228242383,0.0,0.0
0195093917,0865475121,1,0.98361987,0.49207697655704546,0.5,1.4426950408889634
0226816273,0300072783,0,0.2115132,-0.07717422960614954,0.0,0.0
0345431901,0802819346,0,0.2781713,-0.27917837125878475,0.0,0.0
0664223869,0060604514,1,0.9613205,0.5070393489839154,0.058823529411764705,0.35295612386476116
0805418881,0687013488,0,0.1749995,-0.2147043803033667,0.0,0.0
0687005442,0060609176,1,0.7849366,0.314691561546372,0.2,0.6213349345596119
0060558288,0789004607,1,0.92337704,0.46859665196174727,0.0,0.0
0883449471,1883002338,0,0.27052048,-0.09753406361528213,0.0,0.0
0814660479,0814660258,1,0.98924905,0.21499755892069725,0.25396825396825395,0.9690179556831694
0205269990,0764224085,0,0.40355173,-0.1766866433716675,0.0,0.0
0664241107,1580231667,0,0.35543504,-0.082089467067118,0.0,0.0
0804204551,0310312019,1,0.8410343,0.4827576053172048,0.0,0.0
0310286700,0310289017,1,0.77466905,0.13907153633079702,0.0,0.0
0664221920,0060608765,0,0.38709792,0.08151081797518864,0.0,0.0
B00000081S,B00000IMYC,1,0.9958911,0.7387758735532215,0.2,0.6213349345596119
0310216257,080109030X,1,0.8176866,0.36068889495727036,0.5,1.6831442143704574
0851514588,087552513X,1,0.9122254,-0.09089887049345602,0.2,0.6213349345596119
0830812881,0310211565,1,0.74552166,0.029787508878493244,0.41666666666666663,1.279458146995729
0830822194,0664224458,1,0.91641426,0.2048243634573124,0.0,0.0
0060628464,0891099425,1,0.8013085,0.16974465266675845,0.14285714285714285,0.5138983423697507
0830815716,0801026210,1,0.8728591,0.20867510611803453,0.07692307692307693,0.3898712452512801
0310246040,0310211182,1,0.5865006,-0.05597573565814973,0.43043091375889836,2.007946866165599
082543145X,0664254284,0,0.1616596,0.06777121790011863,0.0,0.0
0805424539,187844249X,0,0.29435772,0.0565594422479323,0.0,0.0
080284751X,0664252176,0,0.3550399,-0.13205152353026364,0.0,0.0
0824519868,0824518780,1,0.87641466,0.22739976829948574,0.188859649122807,1.2587660902908642
0809128993,0800619250,1,0.8717779,0.21562342974297333,0.0625,0.36067376022224085
0802808212,1565632508,1,0.8226286,0.48352124551506104,0.0,0.0
0152021027,0790732416,0,0.36691067,-0.13497656381636033,0.0,0.0
0809132311,0877939349,1,0.934184,0.2911126827713629,0.8242424242424242,2.5699414871703077
0687426561,0800629876,1,0.8945055,0.5168158110091412,0.1111111111111111,0.45511961331341866
0802848001,1579109675,1,0.94777924,0.6374373239436767,0.0,0.0
1589193067,1572301791,0,0.27097768,0.08485514894085996,0.0,0.0
0385236824,0802840655,1,0.9278317,0.24601853875200902,0.03754385964912281,0.5029601655853828
0664227899,0281052999,1,0.9692758,0.16628265771036035,0.0,0.0
1893732282,0913342459,1,0.9787564,0.1211047672172718,0.6166666666666667,1.9007930815553407
0253208491,006060199X,0,0.20388244,0.06484048533174158,0.0,0.0
3438051133,0805416129,1,0.85391444,0.2722166788686633,0.29270315091210614,1.4965129817648832
0875521746,0878405968,0,0.20633043,-0.02367768366234884,0.0,0.0
0787947350,1561010464,1,0.7667004,0.5726531151470355,0.0,0.0
0520224752,089281134X,1,0.9727748,0.5291047028267203,0.8666666666666667,2.441813387813286
0631221387,0520227573,1,0.9398788,0.425707530667226,0.2,0.6213349345596119
0801021472,1565632060,1,0.8514433,0.21810395212057276,0.1111111111111111,0.45511961331341866
0192853848,0312420919,1,0.950745,0.13965683829076575,0.3333333333333333,0.9102392266268373
0310227704,0262660555,0,0.40168226,0.05989010978625569,0.0,0.0
0205319351,089900783X,0,0.45672113,0.022361109658187082,0.0,0.0
1570753997,0800620445,1,0.9134059,0.5174384327628545,0.0,0.0
019826397X,1582345325,0,0.22232941,0.16479675307165476,0.0,0.0
083081423X,0830812822,1,0.8885371,0.09509042778175061,0.2,0.6213349345596119
0830815929,0871784300,0,0.4525821,-0.15036782353270553,0.0,0.0
0664221912,0804215715,1,0.7030925,0.2964757436849787,0.14285714285714285,0.5138983423697507
0310211565,0300016921,1,0.80150515,-0.007570935210080328,0.65,1.9640173895637054
0800636104,0310203775,0,0.40159428,-0.00490912975705835,0.0,0.0
0802801765,0802843506,1,0.81181294,0.01169262183142906,0.14087481146304678,0.9324727481633284
0310250870,1565635590,1,0.8104651,0.10301196211508658,0.0,0.0
0800634918,0802847145,0,0.37814164,0.14131986935745422,0.0,0.0
0393019551,0226347842,1,0.941263,0.4772356491819156,0.0,0.0
0802807062,1585160172,0,0.12764955,0.0731991414758099,0.0,0.0
0393019551,0299177645,1,0.88889456,0.08304873985004975,0.5,1.4426950408889634
0785263705,0310241073,1,0.94131863,0.6481617574511032,0.0,0.0
0785212213,0849913586,0,0.3214681,0.04217576207729276,0.0,0.0
1576831426,0875521886,1,0.85999256,0.39391731224629795,0.0,0.0
0060628227,0061043850,1,0.8864192,0.13166977850239597,0.4820793433652531,1.861498578658837
0664225144,0787939420,0,0.38265818,0.033617319281005885,0.0,0.0
0195297512,1851681515,1,0.92144775,0.11235348766799283,0.0,0.0
0824509706,0827229453,1,0.97914726,0.20185034668559607,0.5,1.4683498531780845
0764423479,081701358X,0,0.42071885,0.23652593592418814,0.0,0.0
0830817786,0802806805,1,0.70361626,0.14152121494923506,0.02702702702702703,0.2769378934088574
0802774830,0684830752,0,0.4963604,0.3008300485877122,0.0,0.0
0840752865,0310536510,1,0.80730563,0.4081344685498954,0.0,0.0
0664219705,0385485689,0,0.45389357,0.06068826770700405,0.0,0.0
1565633997,0664221564,1,0.90291375,0.2906992420936513,0.0,0.0
1573222992,0529110067,1,0.7724776,-0.2264618071174663,0.0,0.0
0151005230,076442257X,0,0.28023946,0.026236629187772278,0.0,0.0
0898625688,0744137284,0,0.35088843,0.34336788928451656,0.0,0.0
1563381443,0687001579,1,0.96037984,0.247726898612494,0.0,0.0
0687082021,5552886364,0,0.2983448,0.21264268090730615,0.0,0.0
0787942898,0801038553,0,0.38723722,0.0585443299869353,0.0,0.0
0664256643,0664256384,1,0.8935173,0.2511357389128793,0.0,0.0
0814604129,1570751935,0,0.39679307,0.15654586437444876,0.0,0.0
0687064155,0787955337,1,0.825834,0.20035581362871646,0.0,0.0
1850783578,1561011622,0,0.31289744,0.056613142140719414,0.0,0.0
0830815333,1566991498,0,0.208459,0.013480062556837102,0.0,0.0
0898709253,1566766087,0,0.3984534,0.04307917900422404,0.0,0.0
0801090377,0687081734,1,0.9031566,0.5444216237188909,0.524390243902439,1.7119775489533544
0664227856,0520234286,0,0.5322805,0.18110850692951794,0.0,0.0
0060616296,0944344224,1,0.8491618,0.356273786237657,0.5435406698564593,1.9993255324385788
0875525172,0801020751,1,0.802143,0.16545215401379915,0.0136986301369863,0.23307527170850925
0345461029,0345389905,1,0.9956558,0.12098141306410842,0.37896825396825395,1.4499163026461572
0801022606,0879737069,0,0.46991816,-0.13293305327779004,0.0,0.0
0687016088,080063134X,0,0.22282335,0.05175673479375346,0.0,0.0
156338227X,0060608145,1,0.96672213,0.09997272055079141,0.3991588658255325,1.9246168445876872
0883448513,0800626389,0,0.35185826,0.040548913962702465,0.0,0.0
0664227899,0281052859,1,0.90875965,0.4201389199374397,0.0,0.0
0310254418,0830710515,1,0.9649057,0.5319364914202895,0.0,0.0
0787940577,0687032237,0,0.3340027,-0.01497270442894501,0.0,0.0
1576832961,0310490804,1,0.8026176,0.3963389953794327,0.0,0.0
0827229534,0800628411,1,0.83356184,0.3099722280594171,0.06929510155316607,0.5946197517622416
0687052130,0687025788,1,0.91880965,0.5402770502060524,0.39166666666666666,1.4733034554174869
083082653X,0830817573,1,0.8652655,0.5312898330876461,0.30952380952380953,1.072008968920998
0891091920,0830822100,1,0.85005724,0.30593732726739864,0.0,0.0
0687023645,0310239478,0,0.35366946,0.1558225767420684,0.0,0.0
0787947350,0385502346,1,0.8573719,0.1947129620306509,0.010638297872340425,0.2201045822301589
083081907X,0830818421,1,0.9694985,0.6453506154715292,0.4,1.2426698691192237
0300084242,046500427X,1,0.8914606,0.1678158619488947,0.2729166666666667,1.4268883958849097
0310239451,0801097118,1,0.7573411,0.29681049773076645,0.0,0.0
0310237130,0310249716,1,0.97079414,0.29490527048859555,0.0,0.0
0891091920,0875524834,0,0.34727395,0.13046598624404787,0.0,0.0
0310254418,0192132474,0,0.41041887,-0.12347241328667004,0.0,0.0
0802801218,0802807917,1,0.9855752,0.3455103940149872,0.34285714285714286,1.1352332769293625
0801065046,1573581445,1,0.9393551,0.06480777193955893,0.2692425853716176,1.4400825619409179
0814661327,1566991730,0,0.35421044,-0.08361722264527056,0.0,0.0
0824518888,0806634065,0,0.35826614,0.003971103900134183,0.0,0.0
0471271136,0471347663,1,0.9088471,0.42808129185523697,0.20202020202020202,0.872152004737665
0345329597,0060925043,0,0.34644678,0.08739754793459113,0.0,0.0
0687426561,0316739081,0,0.36977658,-0.029018050375090056,0.0,0.0
